time: 8.8027 , HR: 110.24 
time: 8.8366 , HR: 110.20 
time: 8.8695 , HR: 110.25 
time: 8.9026 , HR: 110.25 
time: 8.9361 , HR: 110.22 
time: 8.9769 , HR: 109.94 
time: 9.0121 , HR: 109.88 
time: 9.0460 , HR: 109.85 
time: 9.0811 , HR: 109.75 
time: 9.1154 , HR: 109.69 
time: 9.1498 , HR: 109.65 
time: 9.1840 , HR: 109.58 
time: 9.2170 , HR: 109.64 
time: 9.2506 , HR: 109.58 
time: 9.2924 , HR: 109.27 
time: 9.3280 , HR: 109.16 
time: 9.3604 , HR: 109.16 
time: 9.4051 , HR: 108.83 
time: 9.4381 , HR: 108.81 
time: 9.4719 , HR: 108.84 
time: 9.5051 , HR: 108.87 
time: 9.5385 , HR: 109.08 
time: 9.5809 , HR: 109.38 
time: 9.6161 , HR: 110.04 
time: 9.6491 , HR: 110.52 
time: 9.6818 , HR: 110.99 
time: 9.7195 , HR: 111.32 
time: 9.7532 , HR: 112.54 
time: 9.7870 , HR: 113.33 
time: 9.8202 , HR: 114.29 
time: 9.8535 , HR: 115.54 
time: 9.8941 , HR: 116.94 
time: 9.9291 , HR: 118.29 
time: 9.9640 , HR: 119.08 
time: 9.9976 , HR: 119.91 
time: 10.0314 , HR: 119.93 
time: 10.0651 , HR: 120.18 
time: 10.0990 , HR: 120.24 
time: 10.1313 , HR: 120.33 
time: 10.1732 , HR: 120.03 
time: 10.2093 , HR: 119.95 
time: 10.2465 , HR: 119.87 
time: 10.2865 , HR: 119.69 
time: 10.3234 , HR: 119.59 
time: 10.3567 , HR: 119.56 
time: 10.3908 , HR: 119.78 
time: 10.4244 , HR: 119.85 
time: 10.4674 , HR: 119.51 
time: 10.5036 , HR: 119.41 
time: 10.5373 , HR: 119.42 
time: 10.5711 , HR: 119.45 
time: 10.6037 , HR: 136.56 
time: 10.6376 , HR: 137.10 
time: 10.6702 , HR: 137.60 
time: 10.7038 , HR: 137.73 
time: 10.7379 , HR: 137.72 
time: 10.7797 , HR: 137.40 
time: 10.8139 , HR: 85.84 
time: 10.8475 , HR: 85.86 
time: 10.8798 , HR: 85.90 
time: 10.9129 , HR: 85.89 
time: 10.9467 , HR: 85.90 
time: 10.9812 , HR: 86.13 
time: 11.0157 , HR: 86.19 
time: 11.0599 , HR: 85.94 
time: 11.1158 , HR: 85.40 
time: 11.1556 , HR: 85.28 
time: 11.1933 , HR: 85.16 
time: 11.2276 , HR: 85.40 
time: 11.2612 , HR: 85.40 
time: 11.2944 , HR: 85.61 
time: 11.3281 , HR: 85.66 
time: 11.3697 , HR: 85.47 
time: 11.4055 , HR: 85.44 
time: 11.4399 , HR: 51.27 
time: 11.4735 , HR: 51.26 
time: 11.5067 , HR: 51.27 
time: 11.5403 , HR: 51.26 
time: 11.5731 , HR: 51.37 
time: 11.6061 , HR: 51.40 
time: 11.6395 , HR: 51.38 
time: 11.7147 , HR: 50.77 
time: 11.7505 , HR: 50.74 
time: 11.7844 , HR: 50.71 
time: 11.8173 , HR: 50.73 
time: 11.8503 , HR: 50.75 
time: 11.8839 , HR: 50.74 
time: 11.9166 , HR: 50.92 
time: 11.9497 , HR: 50.97 
time: 11.9903 , HR: 50.87 
time: 12.0260 , HR: 50.85 
time: 12.0594 , HR: 50.85 
time: 12.0944 , HR: 50.83 
time: 12.1274 , HR: 50.85 
time: 12.1610 , HR: 50.84 
time: 12.1935 , HR: 50.86 
time: 12.2272 , HR: 51.00 
time: 12.2688 , HR: 50.92 
time: 12.3057 , HR: 50.91 
time: 12.3404 , HR: 50.88 
time: 12.3740 , HR: 50.88 
time: 12.4072 , HR: 50.88 
time: 12.4404 , HR: 50.88 
time: 12.4744 , HR: 50.87 
time: 12.5155 , HR: 50.87 
time: 12.5482 , HR: 50.90 
time: 12.5920 , HR: 50.76 
time: 12.6271 , HR: 50.76 
time: 12.6708 , HR: 50.63 
time: 12.7044 , HR: 50.64 
time: 12.7384 , HR: 50.64 
time: 12.7736 , HR: 50.61 
time: 12.8075 , HR: 50.61 
time: 12.8425 , HR: 50.70 
time: 12.8856 , HR: 50.60 
time: 12.9325 , HR: 67.19 
time: 12.9785 , HR: 67.16 
time: 13.0202 , HR: 67.00 
time: 13.0619 , HR: 66.85 
time: 13.1049 , HR: 66.67 
time: 13.1460 , HR: 66.53 
time: 13.2046 , HR: 66.23 
time: 13.2578 , HR: 65.90 
time: 13.3053 , HR: 65.64 
time: 13.3510 , HR: 65.41 
time: 13.3952 , HR: 65.29 
time: 13.4276 , HR: 65.32 
time: 13.4677 , HR: 65.21 
time: 13.5031 , HR: 65.17 
time: 13.5366 , HR: 65.16 
time: 13.5711 , HR: 65.27 
time: 13.6049 , HR: 65.29 
time: 13.6408 , HR: 65.27 
time: 13.6747 , HR: 65.27 
time: 13.7092 , HR: 65.26 
time: 13.7452 , HR: 65.22 
time: 13.8035 , HR: 97.18 
time: 13.8605 , HR: 96.53 
time: 13.9036 , HR: 96.51 
time: 13.9376 , HR: 96.56 
time: 13.9714 , HR: 96.65 
time: 14.0090 , HR: 96.71 
time: 14.0426 , HR: 96.79 
time: 14.0887 , HR: 96.46 
time: 14.1509 , HR: 95.74 
time: 14.1907 , HR: 95.58 
time: 14.2227 , HR: 95.86 
time: 14.2557 , HR: 95.95 
time: 14.2878 , HR: 95.99 
time: 14.3197 , HR: 96.04 
time: 14.3525 , HR: 96.03 
time: 14.3953 , HR: 95.80 
time: 14.4304 , HR: 95.74 
time: 14.4679 , HR: 95.64 
time: 14.5016 , HR: 95.65 
time: 14.5337 , HR: 95.90 
time: 14.5659 , HR: 95.95 
time: 14.5976 , HR: 96.00 
time: 14.6292 , HR: 96.02 
